code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,id_assessment,date_submitted,is_banked,score,id_site,date,sum_click
CCC,2014B,627750,F,Scotland,HE Qualification,40-50%,0-35,0,60,N,Pass,-51.0,,30715.0,75.0,0.0,93.0,729671.0,41.0,1.0
DDD,2013J,589503,F,North Region,Lower Than A Level,,0-35,0,60,N,Pass,-109.0,,25354.0,242.0,0.0,71.0,674168.0,107.0,2.0
CCC,2014B,614804,M,Scotland,A Level or Equivalent,0-10%,0-35,0,90,Y,Withdrawn,-28.0,157.0,24288.0,139.0,0.0,31.0,729671.0,147.0,1.0
FFF,2013J,566863,M,Ireland,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-92.0,,34880.0,230.0,0.0,91.0,716252.0,64.0,1.0
FFF,2014J,587571,M,London Region,A Level or Equivalent,0-10%,35-55,0,60,N,Distinction,-65.0,,34902.0,135.0,0.0,87.0,883081.0,35.0,3.0
FFF,2013B,531182,M,London Region,Lower Than A Level,80-90%,0-35,1,120,N,Pass,-67.0,,34863.0,130.0,0.0,80.0,526834.0,220.0,30.0
FFF,2013B,89895,M,Yorkshire Region,Lower Than A Level,40-50%,0-35,0,60,N,Pass,-64.0,,34863.0,131.0,0.0,69.0,527176.0,32.0,1.0
DDD,2013B,542205,F,East Anglian Region,Lower Than A Level,20-30%,35-55,0,60,N,Pass,-90.0,,25336.0,81.0,0.0,96.0,547948.0,132.0,2.0
CCC,2014J,618649,F,South West Region,A Level or Equivalent,80-90%,0-35,1,60,Y,Pass,-155.0,,24291.0,32.0,0.0,98.0,909013.0,182.0,1.0
AAA,2014J,310412,F,London Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,-81.0,,1760.0,116.0,0.0,90.0,877015.0,91.0,1.0
DDD,2014B,484762,F,South East Region,A Level or Equivalent,10-20,35-55,2,120,Y,Pass,-95.0,,25361.0,234.0,0.0,56.0,773002.0,64.0,1.0
EEE,2014J,1878648,M,Scotland,HE Qualification,30-40%,35-55,0,150,N,Pass,-31.0,,30721.0,131.0,0.0,83.0,832567.0,100.0,2.0
FFF,2013B,334224,M,North Western Region,Lower Than A Level,0-10%,0-35,0,60,Y,Fail,-29.0,,34867.0,68.0,0.0,65.0,527109.0,128.0,1.0
EEE,2013J,599958,F,South East Region,HE Qualification,40-50%,0-35,0,150,N,Distinction,-15.0,,30712.0,158.0,0.0,91.0,551065.0,3.0,9.0
GGG,2013J,589702,F,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,30,N,Pass,-73.0,,37422.0,221.0,0.0,60.0,661584.0,53.0,2.0
CCC,2014J,588170,F,South West Region,A Level or Equivalent,20-30%,35-55,0,60,N,Withdrawn,-149.0,156.0,24291.0,31.0,0.0,94.0,909013.0,101.0,1.0
FFF,2013B,535662,M,East Anglian Region,HE Qualification,40-50%,0-35,0,60,N,Pass,-68.0,,34865.0,53.0,0.0,74.0,526858.0,102.0,2.0
CCC,2014B,626183,M,East Anglian Region,Lower Than A Level,0-10%,0-35,0,60,N,Fail,-78.0,,24283.0,101.0,0.0,58.0,729779.0,49.0,13.0
DDD,2014J,654807,M,South West Region,Lower Than A Level,80-90%,0-35,0,90,Y,Distinction,-91.0,,25364.0,59.0,0.0,95.0,814041.0,232.0,1.0
EEE,2013J,587714,M,East Anglian Region,A Level or Equivalent,80-90%,0-35,0,60,N,Distinction,-36.0,,30710.0,68.0,0.0,92.0,551010.0,68.0,2.0
DDD,2013B,1664920,M,North Western Region,HE Qualification,20-30%,55<=,1,90,N,Pass,-12.0,,25338.0,169.0,0.0,83.0,547547.0,77.0,11.0
FFF,2014J,2274542,M,London Region,Lower Than A Level,20-30%,35-55,0,120,N,Pass,-50.0,,34906.0,108.0,0.0,86.0,882565.0,178.0,8.0
DDD,2013B,2689536,M,Scotland,HE Qualification,40-50%,35-55,0,120,Y,Pass,-88.0,,25341.0,25.0,0.0,77.0,547272.0,224.0,6.0
BBB,2014J,644164,F,Yorkshire Region,Lower Than A Level,70-80%,0-35,0,90,N,Pass,-154.0,,15021.0,47.0,0.0,55.0,913505.0,-5.0,6.0
BBB,2013J,479305,F,London Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass,-127.0,,14998.0,96.0,0.0,80.0,703896.0,158.0,1.0
FFF,2013J,152587,F,South Region,Lower Than A Level,40-50%,35-55,1,90,N,Pass,-50.0,,34878.0,3.0,0.0,88.0,716257.0,148.0,3.0
BBB,2014J,656784,F,Scotland,HE Qualification,20-30%,0-35,0,60,N,Fail,-93.0,,15023.0,151.0,0.0,90.0,913466.0,2.0,1.0
GGG,2013J,2035700,F,South West Region,Lower Than A Level,30-40%,35-55,0,45,N,Distinction,-163.0,,37419.0,137.0,0.0,100.0,661572.0,233.0,1.0
FFF,2013J,561868,F,Wales,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,-8.0,,34881.0,98.0,0.0,53.0,716678.0,53.0,1.0
DDD,2014B,632215,M,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,60,N,Distinction,-23.0,,25356.0,44.0,0.0,98.0,773426.0,207.0,3.0
BBB,2013B,499380,F,Yorkshire Region,A Level or Equivalent,20-30%,35-55,0,60,N,Distinction,-64.0,,14986.0,87.0,0.0,90.0,542794.0,162.0,2.0
BBB,2014B,634483,F,East Anglian Region,Lower Than A Level,10-20,35-55,0,60,N,Pass,-29.0,,15010.0,87.0,0.0,65.0,768771.0,93.0,1.0
EEE,2013J,2598961,M,East Anglian Region,HE Qualification,20-30%,0-35,0,30,N,Distinction,-30.0,,30711.0,124.0,0.0,96.0,551050.0,13.0,2.0
FFF,2014J,682436,M,North Region,Lower Than A Level,70-80%,0-35,0,90,N,Pass,-28.0,,34902.0,135.0,0.0,62.0,882537.0,59.0,1.0
FFF,2014J,680027,M,London Region,A Level or Equivalent,30-40%,35-55,0,120,Y,Distinction,-23.0,,34899.0,23.0,0.0,94.0,883037.0,226.0,1.0
BBB,2013J,604200,F,South West Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass,-42.0,,14996.0,13.0,0.0,78.0,703735.0,117.0,1.0
FFF,2014J,895524,M,South Region,HE Qualification,90-100%,55<=,0,90,N,Distinction,-44.0,,34902.0,132.0,0.0,91.0,882537.0,105.0,11.0
BBB,2014J,626159,F,South West Region,Lower Than A Level,60-70%,35-55,0,60,Y,Pass,-154.0,,37426.0,93.0,0.0,75.0,913473.0,212.0,11.0
FFF,2014J,2161710,M,Wales,A Level or Equivalent,70-80%,35-55,3,60,N,Fail,-51.0,,34899.0,-1.0,1.0,64.0,883024.0,-7.0,1.0
EEE,2014B,616386,M,East Midlands Region,Lower Than A Level,10-20,35-55,0,60,N,Pass,-120.0,,30714.0,31.0,0.0,85.0,790866.0,127.0,8.0
EEE,2014B,585393,M,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,Distinction,-74.0,,24283.0,100.0,0.0,100.0,790819.0,53.0,4.0
FFF,2014J,632074,M,Scotland,A Level or Equivalent,60-70%,0-35,0,60,N,Distinction,-17.0,,34904.0,63.0,0.0,91.0,882596.0,238.0,3.0
FFF,2013B,252095,F,South Region,Lower Than A Level,80-90%,35-55,0,90,N,Pass,-22.0,,34865.0,45.0,0.0,90.0,527499.0,58.0,4.0
GGG,2014B,620946,F,East Anglian Region,Lower Than A Level,60-70%,35-55,0,30,Y,Distinction,-103.0,,37428.0,73.0,0.0,100.0,798670.0,-4.0,4.0
DDD,2014J,692477,M,North Western Region,HE Qualification,40-50%,0-35,0,120,N,Pass,-36.0,,25362.0,18.0,0.0,95.0,813710.0,146.0,1.0
CCC,2014B,528066,M,Ireland,HE Qualification,70-80%,35-55,0,60,N,Pass,-17.0,,24286.0,20.0,0.0,60.0,730035.0,144.0,1.0
FFF,2014J,569876,M,North Region,HE Qualification,,0-35,0,90,N,Pass,-18.0,,34907.0,110.0,0.0,99.0,883047.0,79.0,2.0
FFF,2014J,656734,F,South West Region,Lower Than A Level,70-80%,0-35,0,120,N,Distinction,-108.0,,34908.0,170.0,0.0,77.0,882547.0,207.0,5.0
DDD,2013B,557846,M,Yorkshire Region,HE Qualification,40-50%,0-35,0,60,N,Pass,-23.0,,25345.0,152.0,0.0,78.0,547958.0,43.0,1.0
FFF,2013B,542386,M,Ireland,A Level or Equivalent,90-100%,0-35,0,120,N,Distinction,-102.0,,34862.0,88.0,0.0,89.0,527355.0,-5.0,1.0
GGG,2013J,2643122,F,South West Region,Lower Than A Level,30-40%,0-35,0,30,N,Pass,-121.0,,37416.0,121.0,0.0,60.0,661603.0,91.0,1.0
DDD,2013J,588460,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,90,N,Fail,-123.0,,25348.0,23.0,0.0,81.0,673733.0,22.0,1.0
FFF,2013J,2634868,M,North Western Region,HE Qualification,80-90%,0-35,0,90,N,Distinction,-162.0,,34881.0,98.0,0.0,93.0,716307.0,204.0,2.0
FFF,2013J,591940,M,London Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass,-86.0,,34882.0,185.0,0.0,86.0,716216.0,84.0,4.0
BBB,2014B,604962,F,Ireland,A Level or Equivalent,10-20,35-55,1,120,N,Pass,-81.0,,15009.0,39.0,0.0,75.0,768340.0,40.0,1.0
FFF,2014J,636830,M,Scotland,HE Qualification,90-100%,0-35,0,60,N,Distinction,-92.0,,34902.0,135.0,0.0,91.0,883092.0,44.0,1.0
BBB,2014J,592733,F,East Anglian Region,HE Qualification,90-100%,0-35,0,120,N,Pass,-154.0,,15023.0,152.0,0.0,85.0,913466.0,152.0,6.0
DDD,2013B,542054,M,North Western Region,A Level or Equivalent,0-10%,0-35,0,90,N,Pass,-64.0,,25337.0,116.0,0.0,54.0,547272.0,158.0,1.0
DDD,2013J,580415,F,North Western Region,Lower Than A Level,80-90%,0-35,0,120,N,Distinction,-63.0,,25354.0,237.0,0.0,89.0,673541.0,210.0,4.0
FFF,2014J,674691,F,South Region,HE Qualification,40-50%,0-35,0,60,N,Distinction,-91.0,,34907.0,159.0,0.0,70.0,883060.0,-4.0,1.0
BBB,2013B,485399,F,South Region,Lower Than A Level,70-80%,0-35,1,180,N,Pass,-106.0,,14995.0,189.0,0.0,60.0,542892.0,35.0,1.0
DDD,2013B,524378,F,North Western Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,-53.0,,24288.0,139.0,0.0,88.0,547545.0,156.0,5.0
DDD,2013B,537622,F,North Western Region,A Level or Equivalent,0-10%,0-35,0,60,Y,Pass,-86.0,,25340.0,230.0,0.0,60.0,547936.0,126.0,1.0
DDD,2014B,623815,F,North Western Region,A Level or Equivalent,0-10%,35-55,0,90,N,Pass,-57.0,,25358.0,116.0,0.0,68.0,772729.0,6.0,3.0
BBB,2013J,523928,F,London Region,A Level or Equivalent,10-20,35-55,0,60,N,Pass,-92.0,,14997.0,47.0,0.0,68.0,703721.0,123.0,9.0
EEE,2013J,583032,M,Scotland,HE Qualification,50-60%,0-35,0,60,N,Distinction,-36.0,,24284.0,150.0,0.0,80.0,551073.0,145.0,1.0
DDD,2013B,406541,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,2,250,N,Pass,-55.0,,25334.0,14.0,0.0,67.0,547272.0,125.0,2.0
DDD,2013J,597365,M,North Western Region,A Level or Equivalent,0-10%,35-55,0,60,N,Pass,-73.0,,25354.0,237.0,0.0,82.0,674141.0,175.0,1.0
DDD,2014B,624730,M,Yorkshire Region,Lower Than A Level,10-20,0-35,0,90,N,Fail,-28.0,,25359.0,173.0,0.0,13.0,773202.0,82.0,1.0
FFF,2014B,627521,F,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,60,N,Distinction,-64.0,,34887.0,50.0,0.0,88.0,779089.0,166.0,1.0
FFF,2013J,549397,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,-194.0,,34882.0,145.0,0.0,82.0,716332.0,230.0,1.0
BBB,2014B,470693,F,Scotland,HE Qualification,70-80%,0-35,0,60,N,Distinction,-32.0,,15009.0,33.0,0.0,86.0,768336.0,120.0,1.0
FFF,2013J,486511,M,Ireland,Lower Than A Level,20-30%,0-35,0,60,N,Pass,-52.0,,34877.0,169.0,0.0,72.0,716268.0,49.0,2.0
FFF,2013J,571490,M,London Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass,-35.0,,34873.0,17.0,0.0,74.0,716239.0,16.0,5.0
EEE,2013J,585455,M,Scotland,A Level or Equivalent,90-100%,0-35,0,60,N,Distinction,-89.0,,30712.0,158.0,0.0,91.0,551011.0,59.0,1.0
FFF,2014B,626326,F,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction,-74.0,,34896.0,207.0,0.0,81.0,779351.0,153.0,3.0
FFF,2014B,632044,M,North Region,Lower Than A Level,,35-55,0,60,N,Pass,-29.0,,34893.0,226.0,0.0,52.0,779089.0,150.0,4.0
FFF,2013J,566270,M,South Region,Lower Than A Level,80-90%,0-35,0,60,N,Pass,-102.0,,34881.0,220.0,0.0,78.0,716238.0,157.0,2.0
FFF,2013J,501871,M,North Western Region,Lower Than A Level,0-10%,35-55,0,60,N,Pass,-100.0,,34884.0,227.0,0.0,59.0,716991.0,184.0,1.0
DDD,2013J,543788,F,South Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,-45.0,,25353.0,200.0,0.0,90.0,673745.0,137.0,2.0
BBB,2014B,1763653,F,Yorkshire Region,A Level or Equivalent,50-60%,35-55,1,120,N,Pass,-24.0,,15009.0,39.0,0.0,82.0,768340.0,208.0,3.0
DDD,2014J,2098108,M,South Region,Lower Than A Level,80-90%,35-55,0,120,Y,Fail,-37.0,,25362.0,16.0,0.0,65.0,814123.0,34.0,1.0
DDD,2013J,80868,M,South West Region,Lower Than A Level,80-90%,0-35,0,60,N,Pass,-187.0,,24297.0,147.0,0.0,97.0,673731.0,182.0,13.0
BBB,2013B,545191,F,East Anglian Region,HE Qualification,90-100%,0-35,0,60,N,Pass,-23.0,,14988.0,157.0,0.0,65.0,542807.0,26.0,4.0
DDD,2013B,366310,M,North Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass,-66.0,,24290.0,234.0,0.0,56.0,547606.0,76.0,1.0
DDD,2014J,204609,M,North Western Region,HE Qualification,0-10%,35-55,1,60,N,Pass,-38.0,,25364.0,62.0,0.0,75.0,813956.0,-4.0,1.0
BBB,2014B,577676,F,South Region,HE Qualification,90-100%,0-35,0,60,N,Pass,-29.0,,15010.0,82.0,0.0,76.0,768393.0,81.0,1.0
FFF,2014J,491126,M,West Midlands Region,A Level or Equivalent,40-50%,0-35,0,60,Y,Pass,-29.0,,34899.0,23.0,0.0,100.0,882676.0,92.0,1.0
FFF,2014J,638625,M,West Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,-155.0,,34910.0,222.0,0.0,87.0,883064.0,182.0,2.0
BBB,2014B,99799,F,East Midlands Region,A Level or Equivalent,10-20,0-35,1,120,N,Pass,-41.0,,15019.0,200.0,0.0,80.0,768499.0,26.0,1.0
FFF,2013B,558558,M,South East Region,HE Qualification,90-100%,35-55,0,60,N,Distinction,-25.0,,34868.0,145.0,0.0,93.0,526849.0,55.0,1.0
FFF,2014B,625753,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,120,N,Distinction,-45.0,,34894.0,156.0,0.0,81.0,779089.0,143.0,1.0
FFF,2013J,602511,F,South West Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,-44.0,,34879.0,182.0,0.0,97.0,716222.0,155.0,3.0
CCC,2014J,2462607,F,East Anglian Region,HE Qualification,40-50%,35-55,0,90,N,Pass,-79.0,,24298.0,219.0,0.0,94.0,909088.0,180.0,3.0
BBB,2014J,578551,F,South East Region,A Level or Equivalent,60-70%,35-55,0,60,Y,Pass,-142.0,,15021.0,53.0,0.0,40.0,951619.0,211.0,1.0
DDD,2013B,371831,F,London Region,HE Qualification,10-20,35-55,1,120,N,Pass,-2.0,,25341.0,25.0,0.0,43.0,547272.0,3.0,2.0
CCC,2014B,1997164,M,Ireland,Post Graduate Qualification,,35-55,0,60,N,Pass,-39.0,,34865.0,223.0,0.0,89.0,730035.0,207.0,2.0
BBB,2013B,548124,F,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,-34.0,,14993.0,126.0,0.0,80.0,542811.0,212.0,1.0
FFF,2014B,2492219,M,London Region,HE Qualification,20-30%,35-55,0,60,N,Pass,-22.0,,34889.0,136.0,0.0,88.0,779488.0,-1.0,1.0
FFF,2014B,599740,M,London Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,-25.0,,24299.0,243.0,0.0,52.0,779382.0,149.0,13.0
FFF,2014B,617976,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,-41.0,,34896.0,212.0,0.0,80.0,779630.0,67.0,1.0
FFF,2014J,648038,M,North Western Region,Lower Than A Level,0-10%,0-35,0,120,N,Pass,-155.0,,34899.0,20.0,0.0,82.0,883092.0,79.0,2.0
DDD,2014B,566240,M,North Western Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,-17.0,,25361.0,234.0,0.0,51.0,772705.0,24.0,4.0
EEE,2013J,571620,M,North Western Region,Lower Than A Level,0-10%,0-35,0,60,N,Pass,-154.0,,30712.0,180.0,0.0,81.0,551010.0,52.0,3.0
AAA,2013J,905042,F,East Anglian Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,-91.0,,1753.0,53.0,0.0,73.0,546649.0,185.0,1.0
FFF,2014J,655115,M,North Region,Lower Than A Level,,0-35,0,60,Y,Pass,-23.0,,34901.0,94.0,0.0,72.0,882974.0,83.0,2.0
CCC,2014J,2026585,M,Ireland,HE Qualification,,35-55,0,60,N,Pass,-30.0,,30716.0,114.0,0.0,86.0,909018.0,90.0,1.0
DDD,2013J,585695,M,South West Region,A Level or Equivalent,60-70%,0-35,0,90,Y,Pass,-72.0,,24289.0,209.0,0.0,100.0,673537.0,53.0,2.0
FFF,2013J,576518,M,London Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,-144.0,,34884.0,235.0,0.0,67.0,716317.0,236.0,1.0
FFF,2014B,629540,M,Wales,HE Qualification,0-10%,35-55,0,60,N,Pass,-22.0,,34893.0,221.0,0.0,87.0,779075.0,131.0,2.0
FFF,2013J,432592,M,South East Region,A Level or Equivalent,40-50%,0-35,0,90,N,Distinction,-136.0,,34878.0,20.0,0.0,94.0,716238.0,166.0,3.0
FFF,2013B,558770,F,North Western Region,Lower Than A Level,40-50%,35-55,0,60,N,Pass,-24.0,,34868.0,201.0,0.0,86.0,527176.0,37.0,1.0
FFF,2013J,1852968,F,South East Region,HE Qualification,40-50%,35-55,0,60,N,Distinction,-32.0,,34883.0,207.0,0.0,96.0,716219.0,29.0,2.0
FFF,2014B,617740,M,Wales,A Level or Equivalent,0-10%,0-35,0,60,N,Pass,-43.0,,34897.0,212.0,0.0,84.0,779075.0,106.0,2.0
FFF,2013B,1118284,M,South Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,-22.0,,34868.0,122.0,0.0,93.0,526841.0,35.0,22.0
DDD,2013B,248994,F,Wales,Lower Than A Level,0-10%,0-35,0,60,N,Pass,-79.0,,25347.0,209.0,0.0,91.0,547303.0,170.0,3.0
FFF,2013J,586080,M,North Region,Lower Than A Level,20-30%,0-35,0,60,N,Fail,-129.0,,34875.0,96.0,0.0,87.0,716640.0,5.0,2.0
FFF,2013B,1464952,M,East Anglian Region,HE Qualification,50-60%,35-55,0,90,N,Pass,-71.0,,34862.0,101.0,0.0,74.0,527215.0,77.0,1.0
CCC,2014J,442669,F,Scotland,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-25.0,,24297.0,147.0,0.0,100.0,909097.0,141.0,1.0
CCC,2014B,585709,F,South West Region,A Level or Equivalent,40-50%,0-35,0,90,N,Pass,-109.0,,24288.0,139.0,0.0,83.0,729779.0,54.0,1.0
CCC,2014J,2050179,M,South East Region,A Level or Equivalent,60-70%,35-55,0,60,N,Distinction,-37.0,,24295.0,21.0,0.0,78.0,909013.0,50.0,1.0
BBB,2014J,606391,F,Yorkshire Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass,-58.0,,37416.0,123.0,0.0,78.0,913690.0,30.0,1.0
FFF,2014J,119310,M,North Western Region,Lower Than A Level,20-30%,0-35,0,150,N,Pass,-57.0,,34905.0,96.0,0.0,88.0,882921.0,23.0,3.0
FFF,2014J,1879321,M,Ireland,HE Qualification,70-80%,35-55,0,90,N,Distinction,-25.0,,34910.0,226.0,0.0,90.0,883036.0,-7.0,2.0
FFF,2014J,679939,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-37.0,,24296.0,69.0,0.0,85.0,882629.0,146.0,5.0
FFF,2013B,554852,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,0,90,N,Pass,-48.0,,34860.0,15.0,0.0,80.0,526833.0,131.0,2.0
FFF,2013B,390400,M,Scotland,Lower Than A Level,90-100%,0-35,2,120,N,Fail,-25.0,,34868.0,221.0,0.0,83.0,526853.0,130.0,2.0
